Timestamp,LogMessage
1707555623.0967977,"Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: Linux version 6.6.8-2-MANJARO (builduser@fv-az913-981) (gcc (GCC) 13.2.1 20230801, GNU ld (GNU Binutils) 2.41.0) #1 SMP PREEMPT_DYNAMIC Thu Dec 21 16:21:45 UTC 2023"
1707555623.0984876,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: BIOS-e820: [mem 0x00000000bff00000-0x00000000bfffffff] usable
1707555623.0998218,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
1707555623.1010988,"Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS 6.00 11/12/2020"
1707555623.1023214,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: vmware: using clock offset of 8913786900 ns
1707555623.1035814,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: Found optimal setting for mtrr clean up
1707555623.1048648,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: Using GB pages for direct mapping
1707555623.1060138,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: ACPI: FACS 0x00000000BFEFFFC0 000040
1707555623.1070712,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: ACPI: WAET 0x00000000BFEDB6CF 000028 (v01 VMWARE VMW WAET 06040000 VMW  00000001)
1707555623.1082172,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: ACPI: Reserving APIC table memory at [mem 0xbfedc872-0xbfedcfb3]
1707555623.109307,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x02 -> Node 0
1707555623.1103036,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x10 -> Node 0
1707555623.1113913,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x1a -> Node 0
1707555623.1124413,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x26 -> Node 0
1707555623.11356,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x36 -> Node 0
1707555623.1146836,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x42 -> Node 0
1707555623.116002,Feb 04 19:47:04 arsenal-vmwarevirtualplatform kernel: SRAT: PXM 0 -> APIC 0x52 -> Node 0
